filename treatment update average
edit_explode_denovo_00002_54 edit_explode_denovo_00002 49000 1.5472
edit_explode_denovo_00002_54 edit_explode_denovo_00002 50000 1.61893
edit_explode_denovo_00002_54 edit_explode_denovo_00002 51000 1.5138
edit_explode_denovo_00002_54 edit_explode_denovo_00002 52000 1.03548
edit_explode_denovo_00002_54 edit_explode_denovo_00002 53000 0.990336
edit_explode_denovo_00002_54 edit_explode_denovo_00002 54000 3.36149
edit_explode_denovo_00002_54 edit_explode_denovo_00002 55000 1.55029
edit_explode_denovo_00002_54 edit_explode_denovo_00002 56000 1.44774
edit_explode_denovo_00002_54 edit_explode_denovo_00002 57000 1.44738
edit_explode_denovo_00002_54 edit_explode_denovo_00002 58000 1.64362
edit_explode_denovo_00002_54 edit_explode_denovo_00002 59000 1.94413
edit_explode_denovo_00002_54 edit_explode_denovo_00002 60000 2.08472
edit_explode_denovo_00002_55 edit_explode_denovo_00002 0 -nan
edit_explode_denovo_00002_55 edit_explode_denovo_00002 1000 0.125356
edit_explode_denovo_00002_55 edit_explode_denovo_00002 2000 0.286369
edit_explode_denovo_00002_55 edit_explode_denovo_00002 3000 0.426588
edit_explode_denovo_00002_55 edit_explode_denovo_00002 4000 0.464596
edit_explode_denovo_00002_55 edit_explode_denovo_00002 5000 0.686884
edit_explode_denovo_00002_55 edit_explode_denovo_00002 6000 0.817955
edit_explode_denovo_00002_55 edit_explode_denovo_00002 7000 1.00593
edit_explode_denovo_00002_55 edit_explode_denovo_00002 8000 1.18387
edit_explode_denovo_00002_55 edit_explode_denovo_00002 9000 1.20632
edit_explode_denovo_00002_55 edit_explode_denovo_00002 10000 1.31875
edit_explode_denovo_00002_55 edit_explode_denovo_00002 11000 1.5644
edit_explode_denovo_00002_55 edit_explode_denovo_00002 12000 1.86167
edit_explode_denovo_00002_55 edit_explode_denovo_00002 13000 2.06635
edit_explode_denovo_00002_55 edit_explode_denovo_00002 14000 2.18406
edit_explode_denovo_00002_55 edit_explode_denovo_00002 15000 2.06067
edit_explode_denovo_00002_55 edit_explode_denovo_00002 16000 2.21
edit_explode_denovo_00002_55 edit_explode_denovo_00002 17000 2.22926
edit_explode_denovo_00002_55 edit_explode_denovo_00002 18000 2.52546
edit_explode_denovo_00002_55 edit_explode_denovo_00002 19000 2.57893
edit_explode_denovo_00002_55 edit_explode_denovo_00002 20000 2.80589
edit_explode_denovo_00002_55 edit_explode_denovo_00002 21000 2.82488
edit_explode_denovo_00002_55 edit_explode_denovo_00002 22000 2.91625
edit_explode_denovo_00002_55 edit_explode_denovo_00002 23000 2.89563
edit_explode_denovo_00002_55 edit_explode_denovo_00002 24000 3.04508
